Territory,LOCATION_NAME,subcategory,BRAND,QTY_KG_RTM,QTY_KG_RTM_NORM_BRANDWISE,QTY_SHARE_REGION_BRAND,WS_TERRITORY,WEIGHT FACTOR,AWS
CENTRAL,CHOGORIA,glycerine,SAWA GLYCERINE,40.20279861,0.000384861,0.000263699,,0.085425696,
CENTRAL,CHOGORIA,lotion,BELLEZA,45.22029167,0.027355072,0.005684023,,0.081636331,
CENTRAL,CHOGORIA,lotion,FRESCO,50.30010417,0.051069004,0.009036737,,0.122359796,
CENTRAL,CHOGORIA,margarine,ONJA,41.75,0.017023895,0.009449977,95.89977833,0.110006627,10.54961114
CENTRAL,CHOGORIA,milking jelly,SAWA MILKING JELLY,286.0387222,0.002739493,0.00187619,,0.189331053,
CENTRAL,CHOGORIA,oil,FRESH FRI,5366.673833,0.072850893,0.019474906,44.40835361,0.2314941,10.28027184
CENTRAL,CHOGORIA,oil,POPCO,950.219,0.010716826,0.005384158,44.00430178,0.010716826,0.471586458
CENTRAL,CHOGORIA,oil,SALIT,21592.08283,0.201532603,0.019141776,33.57641678,0.286959484,9.635071244
CENTRAL,CHOGORIA,petroleum jelly,SAWA PETROLLEUM JELLY,10.13625,9.69E-05,6.65E-05,,0.110646211,
CENTRAL,CHOGORIA,toilet soap,SAWA SOAP,872.9456667,0.008360923,0.005725841,,0.052105871,
CENTRAL,CHUKA,bar soap,NDUME,16205.6,0.128278724,0.021973746,10.97780161,0.128278724,1.408218382
CENTRAL,CHUKA,bar soap,POPCO,320,0.003568877,0.001813193,46.92278541,0.243044506,11.4043252
CENTRAL,CHUKA,bar soap,USHINDI BAR,1641.525,0.080630049,0.022565445,58.4682421,0.23283382,13.61338418
CENTRAL,CHUKA,bar soap,WHITEWASH,2728.1,0.039976906,0.023228024,,0.098686697,
CENTRAL,CHUKA,bathing soap,4U,138,0.00271585,0.011001056,,0.084651163,
COAST,MOMBASA,bathing soap,AFRISENSE,364.57,0.329704081,0.533465028,56.16951953,1,56.16951953
CENTRAL,CHUKA,bathing soap,DETREX,762.5975,0.022782211,0.025661476,66.28906039,0.124580155,8.25830142
CENTRAL,CHUKA,bathing soap,DIVA,9.6,0.009913837,0.016397195,,0.160586026,
